Usage: Account Number,Usage: Created By ID,Usage: Created Date,Usage: Description,Usage: End Date,Usage: File Name,Usage: GUID,Usage: ID,Usage: Import ID,Usage: Quantity,Usage: RBE Status,Usage: Source Type,Usage: Start Date,Usage: Submission Date,Usage: Unit of Measure,Usage: Updated By ID,Usage: Updated Date
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=881c2fa5-226d-4cd5-a3ff-de404ccbbb39~appId=NUTANIX_CLUSTERS,11/30/2022,1669853109723.csv,fc80c53d-47a8-4906-8a8f-a0192af8855c,8a12946e84c8e81e0184cb0064d03ad2,8a1298df84c8e8a90184cb005f6f22eb,0,Processed,Import,11/30/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_CORE_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=b87d9ddf-f5d5-4b0c-a841-4c33b15b2e51~appId=NUTANIX_CLUSTERS,11/30/2022,1669853109723.csv,0f6e970c-7628-484c-b9ab-6ef857e9186c,8a12946e84c8e81e0184cb0064d03ad3,8a1298df84c8e8a90184cb005f6f22eb,0,Processed,Import,11/30/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_FLASH_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=27b19675-dc4a-46ea-85ac-eaac846b37a7~appId=NUTANIX_CLUSTERS,12/01/2022,1669856694053.csv,2191ed59-104f-4609-be73-292aacf3458f,8a128afb84c8cb2b0184cb3715d409cf,8a12992184c8e8b90184cb3710ee61d4,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_CORE_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=51d99b3f-e25a-4c0a-9166-cdf0cdb1d9b3~appId=NUTANIX_CLUSTERS,12/01/2022,1669856694053.csv,5bd8da92-be45-4140-8716-7511edf9a7fd,8a128afb84c8cb2b0184cb3715d409d0,8a12992184c8e8b90184cb3710ee61d4,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_FLASH_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=4373aef2-593c-4db1-8546-9062f460bfd0~appId=NUTANIX_CLUSTERS,12/01/2022,1669860294257.csv,6ba4a172-4963-48ef-9766-b90a99d49950,8a128afb84c8cb2b0184cb6e048d08b1,8a12879984c8cbb40184cb6dff9416d1,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_CORE_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=e8a09e9d-a994-4927-a083-fa5c6cd71f1c~appId=NUTANIX_CLUSTERS,12/01/2022,1669860296674.csv,1e457798-9ac9-44d5-ba90-6210a02f3d7c,8a12946e84c8e81e0184cb6e0eed3416,8a12879984c8cbb40184cb6e090d1714,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_FLASH_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=39c5e905-9d38-4144-ba1c-e4832ad31f38~appId=NUTANIX_CLUSTERS,12/01/2022,1669863892657.csv,7b29372c-4b22-4f1b-8ef5-39f39ce90710,8a128afb84c8cb2b0184cba4ef477e44,8a1282cd84c8cbac0184cba4e82869fe,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_FLASH_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=53fd0b11-03c4-4192-a7ce-4a5349bffcc7~appId=NUTANIX_CLUSTERS,12/01/2022,1669863894986.csv,40a8196e-20a3-4a47-8ccf-75cb981d7925,8a12946e84c8e81e0184cba4f8143eaa,8a12947a84c8e8ac0184cba4f125418d,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_CORE_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=e681cb7e-e978-4ce8-b087-fc46cf3cfc33~appId=NUTANIX_CLUSTERS,12/01/2022,1669867496800.csv,54fad460-790b-4eb9-93fe-8c39b6e442ce,8a128afb84c8cb2b0184cbdbeba773d1,8a1298df84c8e8a90184cbdbe6bd393f,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_CORE_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=066cbadc-4a10-43f6-bcb0-7a260054b3d9~appId=NUTANIX_CLUSTERS,12/01/2022,1669867497818.csv,676df7c9-9808-425e-9a9a-efcef5faf7e0,8a12946e84c8e81e0184cbdbf4d05d4d,8a129baf84c8e8be0184cbdbeac1774e,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_FLASH_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=6e936f23-8613-4a34-b302-9605aa7b5e20~appId=NUTANIX_CLUSTERS,12/01/2022,1669871093131.csv,3f25de0c-eb98-4db0-99a4-47d4d382eb9f,8a128afb84c8cb2b0184cc12cbae4b99,8a1282cd84c8cbac0184cc12c6a96c57,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_CORE_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
